"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean"
"Relevant","full-text","full-text","7","10.1371/journal.pone.0170755","citrus (phyllosticta citricarpa host)","phyllosticta citricarpa (mcalp.)","leaf","growth on solid media","present","pathogenic; isolated from citrus black spot lesions on fruits",NA,NA,"united states of america","full-text; doi_10.1371_journal.pone.0170755","Full-Text"
"Relevant","full-text","full-text","6","10.22438/jeb/38/1/ms-217","saccharum spp. hybrid (sugarcane)","cf 09","leaf and stem","present",NA,"isolated from leaf and stem on potato dextrose agar medium.","","india","full-text","doi_10.22438_jeb_38_1_ms-217","Full-Text"
"Relevant","abstract","abstract","0","10.1094/pdis-11-13-1120-pdn","malus domestica gala","botrytis cinerea pers.fr.","apple fruit","present","pathogenic","isolated from decayed apple fruit treated with penbotec in a commercial packinghouse in pennsylvania","orchard","pennsylvania","usa","abstract-csv; doi_10.1094_pdis-11-13-1120-pdn","Abstract"
"Relevant","abstract","abstract","0","","gastrochilus calceolaris (j. e. sm.) d. don","ceratobasidium sp.","root","present","mycorrhizal","isolated from roots; morphological and molecular analysis confirmed identification with rhizoctonia-like fungi.",NA,"","bangladesh","abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.micron.2006.02.003","phoenix dactylifera l.","lecanicillium dimorphum","petioles","leaf tissues","present","entomopathogenic; isolated from date palm petioles and survived inside leaf tissues for at least 30 days after inoculation.",NA,"","","abstract-csv; doi_10.1016_j.micron.2006.02.003","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ecoenv.2018.06.042","triticum aestivum (winter wheat)","candida albicans","kernel","present",NA,"isolated from winter wheat kernels","","","abstract-csv","doi_10.1016_j.ecoenv.2018.06.042","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.pedobi.2015.09.001","cinnamomum camphora","endophyte (species not specified","leaves","present",NA,"isolated from senesced plant material and inoculated onto leaf litter","affecting decomposition rate","fungal community","and microbial activities under field conditions.","; ; abstract-csv; doi_10.1016_j.pedobi.2015.09.001","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11274-009-9981-x","elymus mollis","gliomastix murorum","roots","present",NA,"isolated from roots of elymus mollis; growth-promoting ability studied on waito-c rice and atriplex gemelinii",NA,"","","abstract-csv; doi_10.1007_s11274-009-9981-x","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.simyco.2018.11.001","wide range of host plants (not specified individually)","sporocadaceae","not specified","present","unknown (due to not being specified individually)","species are associated with a wide range of host plants","not specified","not specified","abstract-csv","doi_10.1016_j.simyco.2018.11.001","Abstract"
"Relevant","abstract","abstract","0","10.1111/j.1439-0329.2010.00683.x","sonneratia hainanensis","phomopsis","roots","stems","leaves","present",NA,"isolated from various tissues of the mangrove species","mangrove forests","china (south coast); abstract-csv; doi_10.1111_j.1439-0329.2010.00683.x","Abstract"
"Relevant","abstract","abstract","0","10.1094/phyto-78-418","festuca arundinacea schreber","acremonium coenophialum","plants","present",NA,"causes physiological disorder of cattle known as fescue toxicosis","","","abstract-csv","doi_10.1094_phyto-78-418","Abstract"
"Relevant","full-text","full-text","10","10.11598/btb.2021.28.3.1339","tamarindus indica l.","aspergillus carbonarizls","leaves","fruits","present","NA; isolated from surface-sterilized roots",NA,"terrestrial plant communities","malaysia","full-text; doi_10.11598_btb.2021.28.3.1339","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s00572-003-0228-7","woollsia pungens","anamorphic ericoid mycorrhizal fungal endophyte","(not specified in text)","present",NA,"isolated from two australian ericaceae hosts","(not specified in text)","australia","abstract-csv","doi_10.1007_s00572-003-0228-7","Abstract"
"Relevant","abstract","abstract","0","10.5530/pj.2011.25.15","loranthus sp.","alternaria alternata","not specified","present",NA,"isolated from different parts of loranthus sp.","not specified","not specified","abstract-csv","doi_10.5530_pj.2011.25.15","Abstract"
"Relevant","full-text","full-text","7","10.1186/s41938-021-00410-9","swertia chirata","rhodococcus","shoots","roots","present","NA; isolated from surface-sterilized shoots and roots",NA,"agricultural field","india (gossaigaon","kokrajhar and bijoynagar; jorhat); full-text; doi_10.1186_s41938-021-00410-9","Full-Text"
"Relevant","abstract","abstract","0","10.3390/ph17121678","dizygostemon riparius","aspergillus sp.","not specified","present",NA,"isolated from plant host","not specified","not specified","abstract-csv","doi_10.3390_ph17121678","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.foreco.2020.118350","quercus spp.","unspecified in the abstract","stem wood","present","saprotrophic","endophytic (mycoparasiticclonostachys); isolated from stem wood of intact and snapped trees after hurricane maria in a puerto rican tropical dry forest",NA,"tropical dry forest","puerto rico","abstract-csv; doi_10.1016_j.foreco.2020.118350","Abstract"
"Relevant","abstract","abstract","0","10.5943/sif/5/1/14","xylocarpus spp.","trichoderma spp.","leaf","present",NA,"unknown (as the text does not specify their roles as symbionts or pathogens); isolated from mangrove leaf endophytes in luzon island",NA,"philippines","mangrove forest","philippines; abstract-csv; doi_10.5943_sif_5_1_14","Abstract"
"Relevant","abstract","abstract","0","10.3390/su11010198","not specified (soil-grown crop not named)","cercophora","soil","present","pathogenic","plant-beneficial; amendments led to variations in abundance for specific fungal species within the soil.",NA,"agricultural field","not specified (no location provided)","abstract-csv; doi_10.3390_su11010198","Abstract"
"Relevant","abstract","abstract","0","10.1002/ecy.2855","aristida oligantha (willd.) nees","glomus intraradices","root","present","mycorrhizal","isolated from various am fungal species in greenhouse studies. differences in plant sensitivity to different am fungal species and mycorrhizal responsiveness across 17 grassland plant species were analyzed.","grassland","north america","abstract-csv","doi_10.1002_ecy.2855","Abstract"
"Relevant","abstract","abstract","0","10.1080/03601234.2020.1721981","senna occidentalis","trichoderma spirale","not specified (likely germination assay for shoot length)","present","phytotoxic","unknown mode of interaction; evaluated as photosynthesis and plant growth inhibitors",NA,"(not provided)","(not provided)","abstract-csv; doi_10.1080_03601234.2020.1721981","Abstract"
"Relevant","abstract","abstract","0","","not specified","e33","not specified","present","unknown (endophytic or marine-derived biocontrol agents)","isolated from mixed fermentation; inhibitory activities to several plant pathogens.",NA,"mangrove","south china sea coast","not specified; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.sciaf.2025.e02550","alstonia boonei de wild","fusarium spp (14 molecular variants)","leaves","stem bark and root bark","present",NA,"isolated from leaves","stem bark and root bark using potato dextrose agar (pda)","sabouraud dextrose agar (sda) and czapek dox agar (cza)","sub-saharan africa; not specified; abstract-csv; doi_10.1016_j.sciaf.2025.e02550","Abstract"
"Relevant","abstract","abstract","0","10.4014/jmb.2106.06007","phragmites australis","gibberella intermedia","root","present",NA,"potentially plant growth-promoting; isolated from root samples. fungus lt-1-3-3 showed significant increase in plant growth and high gibberellins production.",NA,"salt marsh","korean peninsula (west coast","seocheon); abstract-csv; doi_10.4014_jmb.2106.06007","Abstract"
"Relevant","abstract","abstract","0","10.1111/ppa.12483","mulika","piriformospora indica","root","present",NA,"with potential for biocontrol agent; colonizes the roots of host plants",NA,"reduces fusarium head blight disease severity and mycotoxin don contamination","agricultural","uk; abstract-csv; doi_10.1111_ppa.12483","Abstract"
"Relevant","abstract","abstract","0","10.1007/s10658-016-0910-1","eucalyptus globulus","neofusicoccum australe","(not specified in text)","present","pathogenic","identified on diseased and healthy e. globulus trees; artificial inoculation trials showed pathogenicity.",NA,"(not specified in text)","portugal","abstract-csv; doi_10.1007_s10658-016-0910-1","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-014-1019-6","ficus sp.","cryptococcus spp. (filobasidiales)","leaf","present",NA,"isolated from living leaves in greenhouses.","greenhouse","germany","abstract-csv","doi_10.1007_s11557-014-1019-6","Abstract"
"Relevant","abstract","abstract","0","","juniperus procera","peyronellaea eucalyptica","twigs","present",NA,"isolated from twigs of juniperus procera collected from taif region","saudi arabia.","high-altitude","saudi arabia","abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11356-023-25488-6","sugar beet (beta vulgaris l.)","piriformospora indica","not specified","present",NA,"isolated and studied for exo-polygalacturonase production","not specified","not specified","abstract-csv","doi_10.1007_s11356-023-25488-6","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11104-016-3147-z","gossypium hirsutum (cotton)","phialemonium inflatum","seed","present","biocontrol agent","isolated from the seed and found to have a biocontrol effect against root-knot nematodes.","not specified","not specified","abstract-csv","doi_10.1007_s11104-016-3147-z","Abstract"
"Relevant","abstract","abstract","0","10.1080/14786410902809260","gladiolus grandiflorus l.","fusarium oxysporum f.sp. gladioli (massey) snyd. hans","corm","present","pathogenic","causing corm-rot disease","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1080_14786410902809260","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ijbiomac.2024.132110","cyclocarya paliurus","penicillium citrinum","","present",NA,"isolated from cyclocarya paliurus","","","abstract-csv","doi_10.1016_j.ijbiomac.2024.132110","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.mycres.2008.10.005","castanea sativa","c. (phialophora) botulispora","root","needle","present","NA; isolated from roots and needles. sporulated after incubation for more than one year at 4 degrees c.",NA,"permafrost site in the jura mountains","switzerland","switzerland; abstract-csv; doi_10.1016_j.mycres.2008.10.005","Abstract"
"Relevant","abstract","abstract","0","10.19540/j.cnki.cjcmm.20190301.012","dysosma versipellis","zasmidium syzygii","in vitro roots","present",NA,"isolated as an endophytic fungal elicitor","","","abstract-csv","doi_10.19540_j.cnki.cjcmm.20190301.012","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.biocontrol.2015.09.002","triticum aestivum (wheat)","penicillium sp.","not specified","present","biocontrol agents","isolated from wheat cultivars; assessed for biocontrol against pyrenophora tritici-repentis",NA,"agricultural field","argentina","abstract-csv; doi_10.1016_j.biocontrol.2015.09.002","Abstract"
"Relevant","full-text","full-text","20","10.3389/fbioe.2020.00467","cotton","not specified in the text","leaf","stem","root","present",NA,"isolated from internal tissues of plants after surface sterilization","not specified in the text","not specified in the text; full-text; doi_10.3389_fbioe.2020.00467","Full-Text"
"Relevant","full-text","full-text","10","10.3389/fbioe.2021.664705","not specified in text","endophytic fungi (species not specified)","not specified in text","present","biocatalyst","co-evolved with plants","inhabit various plant organs","not specified in text","india","full-text; doi_10.3389_fbioe.2021.664705","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.biocontrol.2022.104844","brassica napus","metarhizium anisopliae","not specified","present","entomopathogenic","investigated as biological control agents against the cabbage stem flea beetle","agricultural fields","europe","abstract-csv","doi_10.1016_j.biocontrol.2022.104844","Abstract"
"Relevant","full-text","full-text","21","10.1007/s00227-022-04166-0","posidonia oceanica (l.) delile","dark septate endophyte (dse) in the aigialaceae (pleosporales)","leaf sheaths","rhizomes","present","NA; isolated from surface-sterilized roots",NA,"marine","mediterranean","full-text; doi_10.1007_s00227-022-04166-0","Full-Text"
"Relevant","full-text","abstract","0","10.3864/j.issn.0578-1752.2021.17.016","myrica rubra (bayberry)","firmicutes","bulk soil","root surface soil","roots","twigs","leaves","present","endophytic (bacteria and fungi)","biocontrol agent (bacilli); overuse of paclobutrazol caused significant changes in bacterial and fungal communities in the bulk and root surface soil; roots; branches; and leaves.; acid red soil; not specified; abstract-csv; doi_10.3864_j.issn.0578-1752.2021.17.016","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s13225-012-0153-1","4. rhododendron webbianum","34 poria cocos","stems and leaf segments","present",NA,"isolated from stems and leaf segments of five dominant plant species collected from baima snow mountain (altitude 4","000-4","300 m)","southwest china","mountainous; china; abstract-csv; doi_10.1007_s13225-012-0153-1","Abstract"
"Relevant","full-text","full-text","19","10.1371/journal.pone.0158207","boswellia sacra","penicillum citri-num","leaf","stem","present","NA; produces extracellular enzymes and auxins (indole acetic acid)",NA,"isolated from phylloplane (leaf) and caulosphere (stem) of the tree","desert woodlands of oman","oman; republic of korea; full-text; doi_10.1371_journal.pone.0158207","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s13225-012-0153-1","2. picea crassifolia","32 lenzites betulina","stems and leaf segments","present",NA,"isolated from stems and leaf segments of five dominant plant species collected from baima snow mountain (altitude 4","000-4","300 m)","southwest china","mountainous; china; abstract-csv; doi_10.1007_s13225-012-0153-1","Abstract"
"Relevant","abstract","abstract","0","","hordeum vulgare (barley)","alternaria alternate","grains","present","pathogenic","isolated from cereal grains collected from markets in riyadh","saudi arabia","urban","saudi arabia","abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","","stipa sp.","rhizopus","root","present",NA,"isolated from root tissues of different types of steppes in northern china","steppes","xinjiang","gansu","inner mongolia; abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.3390/jof8020185","ageratina adenophora","c. analogum","leaf","present",NA,"isolated from healthy and diseased leaves of the invasive plant a. adenophora and surrounding crops in yunnan","guangxi","and guizhou provinces in china.","not specified","china; abstract-csv; doi_10.3390_jof8020185","Abstract"
"Relevant","full-text","full-text","11","10.1371/journal.pone.0047968","astragalus adsurgens pall.","namephialophora mustea","root","present",NA,"isolated from roots of astragalus adsurgens pall. seedlings growing on lead-zinc mine tailings.","mine tailing","china","full-text","doi_10.1371_journal.pone.0047968","Full-Text"
"Relevant","abstract","abstract","0","","not mentioned specifically","aspergillus flavus","not specified","present","antifungal","not specified as endophytic","pathogenic","mutualistic","saprotrophic","mycorrhizal; or unknown; plants were examined against fungi for antifungal activity using the agar disc diffusion method; not specified; india; abstract-csv; doi_nan","Abstract"
"Relevant","full-text","full-text","20","10.1371/journal.pone.0125550","dipterocarpaceae (various species)","ascomycota","root","present","root-associated","ectomycorrhizal; colonization of plant roots without causing negative effects.",NA,"dipterocarp rainforest (southeast asia)","unspecified in text","full-text; doi_10.1371_journal.pone.0125550","Full-Text"
"Relevant","abstract","abstract","0","10.3389/fpls.2019.00903","hedysarum scoparium","leptosphaeria sp.","root","present",NA,"mutualistic; isolated from other desert plants. established a positive symbiosis with the host plants under water deficit conditions.",NA,"arid desert","northwest china","abstract-csv; doi_10.3389_fpls.2019.00903","Abstract"
"Relevant","abstract","abstract","0","","cicer arietinum","glomus mosseae","root","present","mycorrhizal","inoculated simultaneously; prior inoculation with mycorrhizal fungus was most effective.","","","abstract-csv","doi_nan","Abstract"
"Relevant","full-text","full-text","32","10.1007/978-1-0716-2871-3_7","styrax camporum","candidatus burkholderia spp.","leaf","present",NA,"obligate endophytes; cannot be grown in the laboratory",NA,"not specified","not specified","full-text; doi_10.1007_978-1-0716-2871-3_7","Full-Text"
"Relevant","abstract","abstract","0","10.5943/mycosphere/4/3/16","phyllostachys sp. (bamboo)","plectosphaerella cucumerina","stem","present","unknown","isolated from apparently healthy bamboo stems in assalouyeh (bushehr province)","not specified","iran","abstract-csv","doi_10.5943_mycosphere_4_3_16","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.smallrumres.2021.106463","tall fescue (lolium arundinaceum (schreb.) darbysh)","endophyte protektm","pasture","present",NA,"infection increases pasture productivity; but wild endophyte in kentucky-31 produces ergot alkaloids that can cause fescue toxicoses. endophyte protektm does not produce ergot alkaloids in sufficient quantities to limit lamb growth or suppress plasma prolactin levels. series 9 endophyte may present a risk for fescue toxicoses.",NA,"pasture","not provided","abstract-csv; doi_10.1016_j.smallrumres.2021.106463","Abstract"
"Relevant","abstract","abstract","0","","zea mays (maize)","penicillium spp.","","present","pathogenic","isolated from maize seeds","","","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.3389/fmicb.2022.974526","styrax benzoin","trichoderma sp. 6407","leaves","bark","stems","present",NA,"isolated from s. sumatrana and s. benzoin trees","not specified","indonesia; abstract-csv; doi_10.3389_fmicb.2022.974526","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.sajb.2025.01.006","catharanthus roseus (l.) g. don.","acrocalymma vagum","leaves","roots","stems","petals","callus","present",NA,"isolated from various organs of the periwinkle plant; (not specified in the text); (not specified in the text); abstract-csv; doi_10.1016_j.sajb.2025.01.006","Abstract"
"Relevant","full-text","full-text","12","10.15376/biores.19.2.2724-2735","pinus brutia","aureobasidium","shoot","present","endophytic or unknown","isolated from surface-sterilized shoots; organized industrial zone (oiz) and forested area (adalar)",NA,"türkiye","full-text","doi_10.15376_biores.19.2.2724-2735","Full-Text"
"Relevant","abstract","abstract","0","10.1007/s10600-022-03690-1","rhizophora spp. (mangroves)","phoma herbarum l28",NA,"present",NA,"isolated from the mangrove endophytic fungus phoma herbarum l28","mangrove","(not provided in text)","abstract-csv","doi_10.1007_s10600-022-03690-1","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11557-021-01740-6","various woody tree species from tropical dry thorn (dt)","nigrospora","leaf","present",NA,"isolated from mature leaves of twenty-five woody tree species with a colonization frequency of < 5%","tropical dry thorn","dry deciduous","and montane evergreen forests","india; abstract-csv; doi_10.1007_s11557-021-01740-6","Abstract"
"Relevant","abstract","abstract","0","10.1007/bf03356555","solanum lycopersicum (tomato)","fusarium oxysporum f. sp. radicis-lycopersici","root","present","pathogenic","causing root rot","algerian sahara","algeria","abstract-csv","doi_10.1007_bf03356555","Abstract"
"Relevant","abstract","abstract","0","10.3114/sim.53.1.191","tuber (species not specified)","cylindrocarpon destructans","root","present",NA,"saprotrophic; pathogenic (potential for some taxa)",NA,"unknown (for interactions involving trichoderma)","various interpretations as potential symbionts or weak pathogens; involved in nutrient and growth factor exchanges; aid in root disease control by stimulating roots to produce defensive tannic materials","forest ecosystem; not specified; abstract-csv; doi_10.3114_sim.53.1.191","Abstract"
"Relevant","abstract","abstract","0","10.21475/poj.10.05.17.pne853","elaeis guineensis jacq.","lasiodiplodia venezuelensis mjp 28","root","present",NA,"pathogenic; inoculated in axenic condition to oil palm plantlets. chitinase activity observed in root of oil palm plantlets.",NA,"not specified","not specified","abstract-csv; doi_10.21475_poj.10.05.17.pne853","Abstract"
"Relevant","abstract","abstract","0","","tree shrew","unspecified fungus from genus 6","hair","present","endophytic or unknown","living on the surfaces of plant tissues; presumably in a mutualistic association.",NA,"not provided","not provided","abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.apsoil.2015.12.007","triticum turgidum l. subsp. durum (desf.) husn.","endophytic fungal antagonists","root","present",NA,"less abundant after chickpea and after fungicide-treated chickpea than after pea or untreated chickpea.","great plains of america",NA,"abstract-csv","doi_10.1016_j.apsoil.2015.12.007","Abstract"
"Relevant","abstract","abstract","0","10.1080/00275514.2018.1492846","not specified individually)","arbuscular mycorrhizal fungi (amf)","root","present",NA,"co-colonization of amf and dark septate endophytes (dse). colonization by amf not extensive.","andean puna (arid","high-elevation plateau)","argentina","abstract-csv; doi_10.1080_00275514.2018.1492846","Abstract"
"Relevant","abstract","abstract","0","10.3390/jof7030202","theobroma cacao (cocoa)","60 genera of fungi mentioned in the text","not specified in the abstract","present",NA,"pathogenic","unknown","involved in various stages of cocoa production chain","including cultivation","harvest; fermentation; drying; and storage. some fungi help control diseases caused by pathogens but increased rain and temperatures due to climate change may favor their infections.; not specified in the abstract; not specified in the abstract; abstract-csv; doi_10.3390_jof7030202","Abstract"
"Relevant","abstract","abstract","0","10.1007/s00128-018-2496-0","glycine max (soybean)","alternaria oxytropis","seedling","present",NA,"isolated from agar media; potential limitation of toxin production in soil culture",NA,"(not provided in text)","(not provided in text)","abstract-csv; doi_10.1007_s00128-018-2496-0","Abstract"
"Relevant","full-text","full-text","32","10.3389/fcimb.2024.1475114","salvinia minima","phyllosticta capitalensis","not specified","present",NA,"isolated from selected aquatic plants","freshwater ecosystem","sri lanka","full-text","doi_10.3389_fcimb.2024.1475114","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.plaphy.2012.07.018","triticum aestivum (wheat)","glomus mosseae","root","shoot","present","NA; isolated from wheat plants under cadmium toxicity conditions",NA,"not specified","not specified","abstract-csv; doi_10.1016_j.plaphy.2012.07.018","Abstract"
"Relevant","abstract","abstract","0","10.1007/s10600-019-02762-z","unknown","phomopsis sp.","not specified","present",NA,"isolated from the fermentation products of an endophytic fungus","","","abstract-csv","doi_10.1007_s10600-019-02762-z","Abstract"
"Relevant","abstract","abstract","0","10.1080/1040841x.2016.1270895","not_specified_in_text","actinobacteria","inner tissues of host plants","present",NA,"reside in the inner tissues of host plants; capacity to produce secondary metabolites",NA,"not_specified_in_text","not_specified_in_text","abstract-csv; doi_10.1080_1040841x.2016.1270895","Abstract"
"Relevant","abstract","abstract","0","10.1007/s11104-017-3219-8","arachis hypogaea (peanut)","phomopsis liquidambari b3","root","nodule","shoot","leaf","present",NA,"isolated from peanut in a monocropping system","(not provided in text); (not provided in text); abstract-csv; doi_10.1007_s11104-017-3219-8","Abstract"
"Relevant","abstract","abstract","0","10.1080/15226514.2016.1225280","brassica napus","sphingomonas (samr12)","root","present",NA,"isolated from roots of the cadmium/zinc hyperaccumulator sedum alfredii hance and able to colonize successfully in the b. napus roots.","(not provided in text)","(not provided in text)","abstract-csv","doi_10.1080_15226514.2016.1225280","Abstract"
"Relevant","abstract","abstract","0","10.19540/j.cnki.cjcmm.20190527.101","huperzia serrata","colletotrichum (species not specified)","stem","leaf","root","present",NA,"isolated from stems and leaves; one strain belongs to basidiomycota","(not specified in text)","(not specified in text); abstract-csv; doi_10.19540_j.cnki.cjcmm.20190527.101","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ympev.2005.01.008","ten native grass species (not specified in full)","neotyphodium spp.","systemic","present","mutualistic (symbiotic endophyte)","isolated from native grass species in argentina","grasslands of argentina","argentina","abstract-csv","doi_10.1016_j.ympev.2005.01.008","Abstract"
"Relevant","abstract","abstract","0","","populus spp.","penicillium sp.","leaves(bud)","teguments","branches","present; biocontrol agent (against cytospora sp.)",NA,"isolated from populus spp.","demonstrated antifungal efficacy against cytospora sp. through mycelial growth inhibition","spore germination inhibition; and biological control potential.; (not provided in text); huhhot; inner mengolia (china); abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","","crescentia cujete l.","not specified (isolated endophytic fungi)","not specified","present",NA,"isolated from the plant","not specified","not specified","abstract-csv","doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.foreco.2020.118817","pinus massoniana",NA,"roots","present","mycorrhizal (ericoid","ectomycorrhizal)",NA,"harbored diverse root-associated fungal communities that varied with forest development","pinus massoniana forest ecosystem","subtropical china; abstract-csv; doi_10.1016_j.foreco.2020.118817","Abstract"
"Relevant","abstract","abstract","0","10.1007/s10658-013-0217-4","camellia sinensis (tea plants)","trichoderma atroviride","root","present","biocontrol agent","isolated as biocontrol agents for red root rot disease of tea plants","tropical/subtropical forest","not specified in text","abstract-csv","doi_10.1007_s10658-013-0217-4","Abstract"
"Relevant","abstract","abstract","0","10.3390/jmse9040430","suaeda japonica","cladosporium","not specified","present",NA,"unknown; isolated from emersed halophytes in river deltas and tidal flats of korean ramsar wetlands",NA,"river deltas","tidal flats","korea; abstract-csv; doi_10.3390_jmse9040430","Abstract"
"Relevant","abstract","abstract","0","10.5852/cr-palevol2025v24a6","sapotaceae jussieu","dark septate endophytes","roots","present",NA,"inhabiting roots","marine near-shore","mixed mesophytic forests","wetland (swamp or riparian) forests","shrub bogs; freshwater/marsh vegetation; poland; abstract-csv; doi_10.5852_cr-palevol2025v24a6","Abstract"
"Relevant","abstract","abstract","0","10.1007/s13225-010-0039-z","aquilaria malaccensis","lasiodiplodia (species not specified)","wounded stem","present","unknown","isolated from agarwood in damaged trees; culture morphology and microscopic characteristics plus pcr amplification of the internal transcribed spacer (its) region were used for identification.",NA,"tropical forest","west malaysia","abstract-csv; doi_10.1007_s13225-010-0039-z","Abstract"
"Relevant","abstract","abstract","0","10.1080/14786419.2023.2236279","ligularia fischeri","diaporthe biguttusis t-24","not specified","present",NA,"isolated from ligularia fischeri","","","abstract-csv","doi_10.1080_14786419.2023.2236279","Abstract"
"Relevant","abstract","abstract","0","10.13343/j.cnki.wsxb.20210656","oryza sativa (rice) ningjing 61","mortierellomycota","roots","present",NA,"isolated from rice roots under salt stress after seeds were soaked with pseudomonas alcaliphila ej2.","not specified in text","not specified in text","abstract-csv","doi_10.13343_j.cnki.wsxb.20210656","Abstract"
"Relevant","full-text","full-text","7","10.1186/s40793-015-0004-2","sugarcane (saccharum spp.)","klebsiella variicola strain dx120e","roots","present",NA,"nitrogen-fixing; isolated from roots of sugarcane grown in guangxi",NA,"china","tropical agriculture","china; full-text; doi_10.1186_s40793-015-0004-2","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.bcab.2024.103307","not specified in text","endophytic fungi (generic level)","not specified in text","present",NA,"symbiotic relationship; potential for green synthesis of metallic nanoparticles",NA,"not specified in text","not specified in text","abstract-csv; doi_10.1016_j.bcab.2024.103307","Abstract"
"Relevant","abstract","abstract","0","","overwintered leaves of trees and shrubs (not specific)","gnomonia gnomon","leaf","present","pathogenic","occurs mostly on overwintered leaves","type species of gnomonia","temperate zone of the northern hemisphere","","abstract-csv; doi_nan","Abstract"
"Relevant","abstract","abstract","0","10.1111/wre.12575","impatiens glandulifera","rolebiological control agent","root","present","mutualistic","biological control agent",NA,"am fungi and rust affect plant growth. am fungi increase infection frequency of c. acutatum. rust inoculation has no detrimental effects on mycorrhizal colonisation or c. acutatum infection","but the latter two reduce rust sporulation. all three fungal types together reduce plant size.","not specified; europe; abstract-csv; doi_10.1111_wre.12575","Abstract"
"Relevant","abstract","abstract","0","10.3390/f14050943","populus fremontii s. watson","fungal endophytes","not specified","present",NA,"dependent community of the foundation tree species","southwestern north america","north america","abstract-csv","doi_10.3390_f14050943","Abstract"
"Relevant","abstract","abstract","0","10.1016/j.ympev.2018.02.013","arundinoideae","claviceps","ovarial grass","present","pathogenic","specialised parasites with a close relationship with their host plants; evolution influenced by interactions with the new hosts and spread to different continents or host plant radiation.",NA,"grasses and sedges","origin in south america","abstract-csv; doi_10.1016_j.ympev.2018.02.013","Abstract"
"Relevant","abstract","abstract","0","10.1080/10889868.2023.2279194","jatropha curcas","cladosporium sp.","root","present","symbiotic","inoculation improved pb phytoremediation; colonization observed under gold mine tailing treatment.","mine tailings","not specified","abstract-csv","doi_10.1080_10889868.2023.2279194","Abstract"
"Relevant","abstract","abstract","0","10.1007/s12010-022-03988-4","dodonaea viscosa","aspergillus niger e12","leaf","present",NA,"isolated from leaf samples; exhibited potent antibacterial activity",NA,"forest (gudiyam)","india","abstract-csv; doi_10.1007_s12010-022-03988-4","Abstract"
"Relevant","abstract","abstract","0","","prunus avium bing","agrobacterium tumefaciens","aerial crown","present","pathogenic","artificially infected trees for study of control measures","not specified in text","not specified in text","abstract-csv","doi_nan","Abstract"
"Relevant","full-text","abstract","0","10.1007/s00203-024-03958-w","cucumis sativus l.","aspergillus elegans","root","present",NA,"pgpf; isolated from surface-sterilized roots; demonstrated root colonization by fungal endophytes",NA,NA,"growth promotion of cucumber plants","not provided in text","Full-Text"
"Relevant","abstract","abstract","0","10.1016/j.jspr.2021.101857","paddy or rice","unspecified seed borne fungal pathogen","seed","present","pathogenic","isolated from diseased media conditions","","not specified","abstract-csv","doi_10.1016_j.jspr.2021.101857","Abstract"
"Relevant","abstract","abstract","0","10.15258/sst.2007.35.1.06","festuca arundinacea l.","neotyphodium coenophialum","seeds","present",NA,"grows symbiotically in the intercellular spaces between seed or plant cells","not provided in text","not provided in text","abstract-csv","doi_10.15258_sst.2007.35.1.06","Abstract"
"Relevant","abstract","abstract","0","10.15446/abc.v19n2.39154","bean",NA,"leaf","pod","present","mixed (endophytic","ascomycete","and mitospore)","isolated from bean tissues with anthracnose symptoms","agricultural fields in the province of antioquia; colombia; colombia; abstract-csv; doi_10.15446_abc.v19n2.39154","Abstract"
