relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file,doc_type_ai_clean,paper_id,interaction_id,fungal_taxon_raw,fungal_taxon_resolved,fungal_taxon_status,fungal_taxon_resolution_method,fungal_taxon_confidence,fungal_taxon_accepted_ids,plant_host_raw,plant_host_resolved,plant_host_status,plant_host_resolution_method,plant_host_confidence,plant_host_accepted_ids
Relevant,abstract,abstract,0,10.1016/j.ecoenv.2017.04.005,brassica campestris l.,mucor sp mhr-7,not specified,present,endophytic,phytostimulant; bioremediation agent; isolated from plants grown on heavy metal contaminated soil. effectively tolerates multiple heavy metals and reduces heavy metal uptake and toxicity in mustard by locking down heavy metals in mycelium.,soil,pakistan,abstract-csv,doi_10.1016_j.ecoenv.2017.04.005,Abstract,doi:10.1016/j.ecoenv.2017.04.005,int_ef98e340bbe164c7,mucor sp mhr-7,mucor,Resolved,exact_accepted,1.00,8774036,brassica campestris l.,brassica campestris,Resolved,exact_accepted,1.00,8426995
Relevant,abstract,abstract,0,10.1016/0168-1605(94)90220-8,vigna radiata (mung beans),fusarium semitectum,seeds,present,unknown,isolated from surface-sterilized seeds after direct plating in chlorine,NA,thailand,abstract-csv,doi_10.1016_0168-1605(94)90220-8,Abstract,doi:10.1016/0168-1605(94)90220-8,int_4d594949951a8bff,fusarium semitectum,fusarium incarnatum,Resolved,synonym_map,0.95,5252208,vigna radiata (mung beans),vigna radiata,Resolved,exact_accepted,1.00,2982380
Relevant,abstract,abstract,0,10.3389/fmicb.2018.01526,vochysia divergens,diaporthe sp.,petiole and leaf,present,endophytic,isolated from leaves and petioles; showed activity against phyllosticta citricarpa and may represent an alternative to be used in the biological control of this phytopathogen.,pantanal (wetland),brazil,abstract-csv,doi_10.3389_fmicb.2018.01526,Abstract,doi:10.3389/fmicb.2018.01526,int_f4a856e77b16fa70,diaporthe sp.,diaporthe,Resolved,exact_accepted,1.00,2566075,vochysia divergens,vochysia divergens,Resolved,exact_accepted,1.00,4030794
Relevant,abstract,abstract,0,10.1007/s10529-012-1123-0,citrus aurantifolia,annulohypoxylon sp.,not specified,present,endophytic,isolated from citrus aurantifolia,not specified,not specified,abstract-csv,doi_10.1007_s10529-012-1123-0,Abstract,doi:10.1007/s10529-012-1123-0,int_e472b8d23024982d,annulohypoxylon sp.,annulohypoxylon,Resolved,exact_accepted,1.00,2576779,citrus aurantifolia,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1046/j.1469-8137.2000.00605.x,piceirhiza bicolorata,hymenoscyphus ericae,ectomycorrhizal root,present,ectomycorrhizal,identified through internal transcribed spacer 1 (its1) nuclear ribosomal dna (rdna) sequence comparison. shared approx. 95% its1 sequence identity with hymenoscyphus ericae.,boreal forest ecosystem,not specified in the text,abstract-csv,doi_10.1046_j.1469-8137.2000.00605.x,Abstract,doi:10.1046/j.1469-8137.2000.00605.x,int_bae64135f2647500,hymenoscyphus ericae,hyaloscypha hepaticicola,Resolved,synonym_map,0.95,8238048,piceirhiza bicolorata,,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),botritis cinerea pers.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_9cd6540d8c9a7aed,botritis cinerea pers.,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),globisporangium intermedium uzuhashi,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_e94b3d6fcd71b3d3,globisporangium intermedium uzuhashi,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),tojo & kakish.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_e364c05c9ee6738c,tojo & kakish.,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),pythium dissotocum drechsler,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_6e32355dfd6c20bb,pythium dissotocum drechsler,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),fusicoccum quercus oudem.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_61c988b667bde525,fusicoccum quercus oudem.,fusicoccum quercus,Resolved,exact_accepted,1.00,2611679,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),apiognomonia errabunda h & ouml;hn.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_0304d1c5a979af43,apiognomonia errabunda h & ouml;hn.,apiognomonia errabunda,Partially_Resolved,exact_accepted; no_match,0.50,2566443,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),botrytis sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_93b0601e0f8d2e49,botrytis sp.,botrytis,Resolved,exact_accepted,1.00,11189196,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),globisporangium sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_0de7cd186b3fe382,globisporangium sp.,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),pythium sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_3d4e070ff08a879f,pythium sp.,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),fusicoccum sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_0a6bfd13650e1c9e,fusicoccum sp.,fusicoccum,Resolved,exact_accepted,1.00,2566548,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),apiognomonia sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_23b917d160922a87,apiognomonia sp.,apiognomonia,Resolved,exact_accepted,1.00,2566442,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),oomycota,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_35410b63bc556699,oomycota,,Unresolved,no_match,0.00,,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),fusarium sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_31982cc2deb6a461,fusarium sp.,fusarium,Resolved,exact_accepted,1.00,2554026,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),mucor sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_1917ecad5d989f25,mucor sp.,mucor,Resolved,exact_accepted,1.00,8774036,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/f15122178,fagus sylvatica (european beech),penicillium sp.,seed coat,present,pathogenic,endophytic; mycorrhizal (potentially); saprotrophic (potentially); isolated from healthy and damaged european beech seeds. significant reduction in number of taxa found on cunp_3weeks seeds.,not specified,not specified,abstract-csv,doi_10.3390_f15122178,Abstract,doi:10.3390/f15122178,int_c4a11b67b98749d8,penicillium sp.,penicillium,Resolved,exact_accepted,1.00,7635114,fagus sylvatica (european beech),fagus sylvatica,Resolved,exact_accepted,1.00,2882316
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),mgrf1,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_1809581796191776,mgrf1,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),mgrf2,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_f5d2bc9cdeff4a94,mgrf2,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),gref1,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_038c9360517299fb,gref1,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),gref2,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_f263ac6686dd037b,gref2,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf4,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_2cae4d56f882be6e,tqrf4,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf5,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_b56a374b64b8e66c,tqrf5,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf6,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_957aeeb5f38b199a,tqrf6,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf7,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_90d8eafe58b366e2,tqrf7,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf8,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_1e1f07eaf08d1dd0,tqrf8,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/ijms24054904,triticum aestivum (wheat),tqrf9,seeds,shoots,roots,present; plant growth-promoting; isolated from coastal region of muscat; oman. improved seed germination and seedling growth; alleviated salt stress; promoted plant growth; varied effects on gene expression.,coastal region,oman,abstract-csv,doi_10.3390_ijms24054904,Abstract,doi:10.3390/ijms24054904,int_d3e25a6e7f9bfb3d,tqrf9,,Unresolved,no_match,0.00,,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/plants11060829,zea mays (maize),curvularia sp.,seed,present,pathogenic,isolated from maize seeds using standard moist blotter (smb); deep freezing blotter (dfb); and agar plate (ap) techniques. pathogenicity assay revealed high percentages of rotted seeds and seedling mortality symptoms.,agricultural field,saudi arabia,abstract-csv,doi_10.3390_plants11060829,Abstract,doi:10.3390/plants11060829,int_319d03d916078cac,curvularia sp.,curvularia,Resolved,exact_accepted,1.00,2569225,zea mays (maize),zea mays,Resolved,exact_accepted,1.00,5290052
Relevant,abstract,abstract,0,10.1094/pbiomes-05-24-0047-r,lolium perenne,epichlo & euml;,rhizosphere,root/shoot endosphere,present,endophytic; mutualistic; symbiotic mutualistic association within established pastures; pasture,aotearoa,new zealand,abstract-csv,doi_10.1094_pbiomes-05-24-0047-r,Abstract,doi:10.1094/pbiomes-05-24-0047-r,int_6d81b089b2a8103c,epichlo & euml;,,Unresolved,no_match,0.00,,lolium perenne,lolium perenne,Resolved,exact_accepted,1.00,2706241
Relevant,abstract,abstract,0,10.1016/j.gecco.2025.e03496,cymbidium tracyanum,mycorrhizal fungi,leaves,present,endophytic,orchid mycorrhizal; application of nitrogen and mycorrhizal fungi during reintroduction; primarily impacted the presence of endophytic fungi,epiphytic habitat on trees,(not provided in text),abstract-csv,doi_10.1016_j.gecco.2025.e03496,Abstract,doi:10.1016/j.gecco.2025.e03496,int_ff15ac4593da4d26,mycorrhizal fungi,,Unresolved,no_match,0.00,,cymbidium tracyanum,cymbidium tracyanum,Resolved,exact_accepted,1.00,5305552
Relevant,abstract,abstract,0,10.3390/foods12030487,oryza sativa (rice),penicillium/talaromyces citrinum,rice grain,present,unknown (could be endophytic,pathogenic; or contaminant); isolated from commercial rice samples,agricultural,thailand,abstract-csv,doi_10.3390_foods12030487,Abstract,doi:10.3390/foods12030487,int_2506a3e9f4fccfdd,penicillium/talaromyces citrinum,penicillium,Partially_Resolved,exact_accepted; no_match,0.50,7635114,oryza sativa (rice),oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1016/j.bmc.2015.11.038,olea europea (olive tree),penicillium chrysogenum,leaf,present,endophytic,isolated from surface-sterilized leaves collected in its natural habitat in egypt.,natural habitat,egypt,abstract-csv,doi_10.1016_j.bmc.2015.11.038,Abstract,doi:10.1016/j.bmc.2015.11.038,int_76e2b37ccbde1299,penicillium chrysogenum,penicillium chrysogenum,Resolved,exact_accepted,1.00,3466349,olea europea (olive tree),,Unresolved,no_match,0.00,
Relevant,abstract,abstract,0,10.1111/jen.12287,solanum lycopersicum (tomato),beauveria bassiana vuill.,leaf,present,entomopathogenic,endophytic; epiphytic on leaf surface; endophytic establishment in treated tomato plants after 18 days,agricultural,(not provided in text),abstract-csv,doi_10.1111_jen.12287,Abstract,doi:10.1111/jen.12287,int_aa0a332c7c75351d,beauveria bassiana vuill.,beauveria bassiana,Resolved,exact_accepted,1.00,2560612,solanum lycopersicum (tomato),solanum lycopersicum,Resolved,exact_accepted,1.00,2930137
Relevant,abstract,abstract,0,10.7717/peerj.7463,oryza sativa ssp. indica,arthrinium phaeospermum,root,present,endophytic or unknown (study suggests correlation with improved drought tolerance),isolated from roots of rice plants subjected to drought conditions,agricultural field,(not provided),abstract-csv,doi_10.7717_peerj.7463,Abstract,doi:10.7717/peerj.7463,int_4c5ce9f6224cd196,arthrinium phaeospermum,apiospora sphaerosperma,Resolved,synonym_map,0.95,12146299,oryza sativa ssp. indica,oryza sativa,Resolved,exact_accepted,1.00,2703459
Relevant,abstract,abstract,0,10.1016/j.pmpp.2023.102132,triticum aestivum (wheat),acrophialophora jodhpurensis,root,crown,present,endophytic; isolated from roots and used for inducing resistance against fusarium graminearum.,(not provided in text),(not provided in text),abstract-csv,doi_10.1016_j.pmpp.2023.102132,Abstract,doi:10.1016/j.pmpp.2023.102132,int_b2612929587b9607,acrophialophora jodhpurensis,acrophialophora jodhpurensis,Resolved,exact_accepted,1.00,10704671,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.1023/b:joec.0000006473.26175.19,lolium perenne l.,neotyphodium lolii,leaf sheaths,leaf blades,seed,root; crown; dead leaf tissue; present; endophytic; endophyte present within perennial ryegrass; production of alkaloids and mycotoxins,pasture,(not provided in text),abstract-csv,doi_10.1023_b:joec.0000006473.26175.19,Abstract,doi:10.1023/b:joec.0000006473.26175.19,int_3bba4e2f410d4046,neotyphodium lolii,,Unresolved,no_match,0.00,,lolium perenne l.,lolium perenne,Resolved,exact_accepted,1.00,2706241
Relevant,abstract,abstract,0,10.1094/mpmi-05-10-0110,brassica campestris subsp. chinensis (chinese cabbage),piriformospora indica (endophytic fungus,root,present,endophytic,stimulates growth and promotes root hair development; higher auxin level in infected roots.,not provided,not provided,abstract-csv,doi_10.1094_mpmi-05-10-0110,Abstract,doi:10.1094/mpmi-05-10-0110,int_a14e94995831225e,piriformospora indica (endophytic fungus,serendipita indica,Resolved,synonym_map,0.95,9711144,brassica campestris subsp. chinensis (chinese cabbage),brassica campestris,Resolved,exact_accepted,1.00,8426995
Relevant,abstract,abstract,0,10.1094/mpmi-05-10-0110,brassica campestris subsp. chinensis (chinese cabbage),sebacinales),root,present,endophytic,stimulates growth and promotes root hair development; higher auxin level in infected roots.,not provided,not provided,abstract-csv,doi_10.1094_mpmi-05-10-0110,Abstract,doi:10.1094/mpmi-05-10-0110,int_6e9c20e419105e9d,sebacinales),sebacinales,Resolved,exact_accepted,1.00,531,brassica campestris subsp. chinensis (chinese cabbage),brassica campestris,Resolved,exact_accepted,1.00,8426995
Relevant,full-text,full-text,14,10.1186/s12864-017-4075-x,glycine max (l.) merrill,phomopsis longicolla t. w. hobbs,not specified,present,pathogenic,isolated from soybean seeds causing phomopsis seed decay; agricultural field,mississippi,usa,full-text,doi_10.1186_s12864-017-4075-x,Full-Text,doi:10.1186/s12864-017-4075-x,int_4ebbaab5c6c95fe2,phomopsis longicolla t. w. hobbs,diaporthe longicolla,Resolved,synonym_map,0.95,7408458,glycine max (l.) merrill,glycine max,Resolved,exact_accepted,1.00,5359660
Relevant,abstract,abstract,0,10.1016/j.pmpp.2023.102166,triticum aestivum l. (spring wheat),unknown (mentioned as soil pathogens,root,present,pathogenic,isolated from soil and affecting root growth of spring wheat.,agricultural field,not specified,abstract-csv,doi_10.1016_j.pmpp.2023.102166,Abstract,doi:10.1016/j.pmpp.2023.102166,int_0c070f45cb53ee1b,unknown (mentioned as soil pathogens,,Unresolved,no_match,0.00,,triticum aestivum l. (spring wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.1016/j.pmpp.2023.102166,triticum aestivum l. (spring wheat),possibly multiple species),root,present,pathogenic,isolated from soil and affecting root growth of spring wheat.,agricultural field,not specified,abstract-csv,doi_10.1016_j.pmpp.2023.102166,Abstract,doi:10.1016/j.pmpp.2023.102166,int_3aad4011b26d73a4,possibly multiple species),,Unresolved,no_match,0.00,,triticum aestivum l. (spring wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/f11040467,acer pseudoplatanus l.,NA,wood in the outer part of dead branches and from discoloured wood in the trunk,present,pathogenic,isolated from infected wood in dead branches and trunks showing symptoms of eutypella canker,forest,slovenia,abstract-csv,doi_10.3390_f11040467,Abstract,doi:10.3390/f11040467,int_cf1e59c7ffe94fa3,NA,,Unresolved,none,0.00,,acer pseudoplatanus l.,acer pseudoplatanus,Resolved,exact_accepted,1.00,3189870
Relevant,abstract,abstract,0,10.2307/3071806,lolium perenne,neotyphodium lolii,leaf,present,endophytic,mycorrhizal; foliar endophyte reduces herbivore survivorship additively with mycorrhizal fungus; no preference shown by larvae for mycorrhizal status; feeding damage reduced by mycorrhizae in -e plants.,NA,NA,abstract-csv,doi_10.2307_3071806,Abstract,doi:10.2307/3071806,int_62c490931e37b20b,neotyphodium lolii,,Unresolved,no_match,0.00,,lolium perenne,lolium perenne,Resolved,exact_accepted,1.00,2706241
Relevant,abstract,abstract,0,10.2307/3071806,lolium perenne,gloinits mosseae,leaf,present,endophytic,mycorrhizal; foliar endophyte reduces herbivore survivorship additively with mycorrhizal fungus; no preference shown by larvae for mycorrhizal status; feeding damage reduced by mycorrhizae in -e plants.,NA,NA,abstract-csv,doi_10.2307_3071806,Abstract,doi:10.2307/3071806,int_a344a3c5e2d66865,gloinits mosseae,,Unresolved,no_match,0.00,,lolium perenne,lolium perenne,Resolved,exact_accepted,1.00,2706241
Relevant,abstract,abstract,0,10.1046/j.1469-8137.1998.00200.x,plantago lanceolata l.,arbuscular mycorrhizal fungi,root,present,mycorrhizal,grown with and without arbuscular mycorrhizal colonization,NA,NA,abstract-csv,doi_10.1046_j.1469-8137.1998.00200.x,Abstract,doi:10.1046/j.1469-8137.1998.00200.x,int_f0eb967acca693ae,arbuscular mycorrhizal fungi,glomeromycota,Resolved,exact_accepted,1.00,18,plantago lanceolata l.,plantago lanceolata,Resolved,exact_accepted,1.00,8208358
Relevant,abstract,abstract,0,10.3390/plants11030255,triticum aestivum (wheat),alternaria sp.,(not specified in text),present,biocontrol agent,screened and identified as antagonistic strains against fusarium pseudograminearum causing crown rot of wheat,(not specified in text),china,abstract-csv,doi_10.3390_plants11030255,Abstract,doi:10.3390/plants11030255,int_adf65cb843f03a03,alternaria sp.,alternaria,Resolved,exact_accepted,1.00,7388975,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/plants11030255,triticum aestivum (wheat),botryosphaeria sp.,(not specified in text),present,biocontrol agent,screened and identified as antagonistic strains against fusarium pseudograminearum causing crown rot of wheat,(not specified in text),china,abstract-csv,doi_10.3390_plants11030255,Abstract,doi:10.3390/plants11030255,int_1ce3c84de4109c1b,botryosphaeria sp.,botryosphaeria,Resolved,exact_accepted,1.00,7706563,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/plants11030255,triticum aestivum (wheat),phoma sp.,(not specified in text),present,biocontrol agent,screened and identified as antagonistic strains against fusarium pseudograminearum causing crown rot of wheat,(not specified in text),china,abstract-csv,doi_10.3390_plants11030255,Abstract,doi:10.3390/plants11030255,int_937e54874d75306d,phoma sp.,phoma,Resolved,exact_accepted,1.00,2513988,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.3390/plants11030255,triticum aestivum (wheat),talaromyces trachyspermus,(not specified in text),present,biocontrol agent,screened and identified as antagonistic strains against fusarium pseudograminearum causing crown rot of wheat,(not specified in text),china,abstract-csv,doi_10.3390_plants11030255,Abstract,doi:10.3390/plants11030255,int_b2b86f7cc6f8e02f,talaromyces trachyspermus,talaromyces trachyspermus,Resolved,exact_accepted,1.00,2598227,triticum aestivum (wheat),triticum aestivum,Resolved,exact_accepted,1.00,7795888
Relevant,abstract,abstract,0,10.1016/j.ejmech.2021.113732,unknown,not specified in the text,NA,present,unknown,natural products isolated from fungi,not specified in the text,not specified in the text,abstract-csv,doi_10.1016_j.ejmech.2021.113732,Abstract,doi:10.1016/j.ejmech.2021.113732,int_1190f7b7a8638234,not specified in the text,,Unresolved,empty,0.00,,unknown,,Unresolved,none,0.00,
